,age,liczba uszkodzeń,running_sum,R(t),F_gest,F_zawodności
120,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,1.0,1.0,0.999,0.001,0.0010000000000000009
1,2.0,1.0,2.0,0.998,0.001,0.0020000000000000018
2,3.0,6.0,8.0,0.992,0.0026666666666666666,0.008000000000000007
3,4.0,8.0,16.0,0.984,0.004,0.016000000000000014
4,5.0,5.0,21.0,0.979,0.0042,0.02100000000000002
5,6.0,16.0,37.0,0.963,0.006166666666666667,0.03700000000000003
6,7.0,15.0,52.0,0.948,0.0074285714285714285,0.052000000000000046
7,8.0,18.0,70.0,0.93,0.00875,0.06999999999999995
8,9.0,15.0,85.0,0.915,0.009444444444444445,0.08499999999999996
9,10.0,13.0,98.0,0.902,0.0098,0.09799999999999998
10,11.0,18.0,116.0,0.884,0.010545454545454545,0.11599999999999999
11,12.0,19.0,135.0,0.865,0.01125,0.135
12,13.0,12.0,147.0,0.853,0.011307692307692309,0.14700000000000002
13,14.0,12.0,159.0,0.841,0.011357142857142857,0.15900000000000003
14,15.0,14.0,173.0,0.827,0.011533333333333333,0.17300000000000004
15,16.0,18.0,191.0,0.809,0.0119375,0.19099999999999995
16,17.0,17.0,208.0,0.792,0.01223529411764706,0.20799999999999996
17,18.0,11.0,219.0,0.781,0.012166666666666666,0.21899999999999997
18,19.0,16.0,235.0,0.765,0.012368421052631579,0.235
19,20.0,11.0,246.0,0.754,0.0123,0.246
20,21.0,21.0,267.0,0.733,0.012714285714285714,0.267
21,22.0,22.0,289.0,0.711,0.013136363636363637,0.28900000000000003
22,23.0,18.0,307.0,0.693,0.013347826086956522,0.30700000000000005
23,24.0,20.0,327.0,0.673,0.013625,0.32699999999999996
24,25.0,19.0,346.0,0.654,0.01384,0.346
25,26.0,19.0,365.0,0.635,0.014038461538461538,0.365
26,27.0,23.0,388.0,0.612,0.01437037037037037,0.388
27,28.0,20.0,408.0,0.592,0.014571428571428572,0.40800000000000003
28,29.0,20.0,428.0,0.572,0.014758620689655172,0.42800000000000005
29,30.0,18.0,446.0,0.554,0.014866666666666667,0.44599999999999995
30,31.0,12.0,458.0,0.542,0.014774193548387098,0.45799999999999996
31,32.0,10.0,468.0,0.532,0.014625,0.46799999999999997
32,33.0,15.0,483.0,0.517,0.014636363636363637,0.483
33,34.0,15.0,498.0,0.502,0.014647058823529412,0.498
34,35.0,18.0,516.0,0.484,0.014742857142857143,0.516
35,36.0,19.0,535.0,0.465,0.014861111111111111,0.5349999999999999
36,37.0,7.0,542.0,0.458,0.014648648648648649,0.542
37,38.0,7.0,549.0,0.451,0.014447368421052632,0.5489999999999999
38,39.0,16.0,565.0,0.435,0.014487179487179487,0.565
39,40.0,17.0,582.0,0.418,0.01455,0.5820000000000001
40,41.0,17.0,599.0,0.401,0.014609756097560976,0.599
41,42.0,14.0,613.0,0.387,0.014595238095238095,0.613
42,43.0,13.0,626.0,0.374,0.01455813953488372,0.626
43,44.0,10.0,636.0,0.364,0.014454545454545454,0.636
44,45.0,14.0,650.0,0.35,0.014444444444444444,0.65
45,46.0,7.0,657.0,0.343,0.014282608695652173,0.657
46,47.0,14.0,671.0,0.329,0.014276595744680851,0.671
47,48.0,8.0,679.0,0.321,0.014145833333333333,0.679
48,49.0,17.0,696.0,0.304,0.01420408163265306,0.696
49,50.0,7.0,703.0,0.297,0.01406,0.7030000000000001
50,51.0,12.0,715.0,0.285,0.014019607843137254,0.7150000000000001
51,52.0,13.0,728.0,0.272,0.014,0.728
52,53.0,13.0,741.0,0.259,0.013981132075471699,0.741
53,54.0,14.0,755.0,0.245,0.013981481481481482,0.755
54,55.0,9.0,764.0,0.236,0.013890909090909091,0.764
55,56.0,8.0,772.0,0.228,0.013785714285714287,0.772
56,57.0,7.0,779.0,0.221,0.013666666666666667,0.779
57,58.0,7.0,786.0,0.214,0.013551724137931034,0.786
58,59.0,5.0,791.0,0.209,0.013406779661016948,0.791
